label,person,P21,gender,relation
Nader Jokhadar,Q6957562,Q6581097,male,position-held
Nader Jokhadar,Q6957562,Q6581097,male,opposite
Nader Jokhadar,Q6957562,Q6581097,male,position-held
Nader Jokhadar,Q6957562,Q6581097,male,position-held
Shu Kamo,Q1188632,Q6581097,male,position-held
Marcello Cuttitta,Q1421525,Q6581097,male,position-held
Stefano Bordon,Q3497946,Q6581097,male,position-held
Takuya Takagi,Q1365312,Q6581097,male,opposite
Takuya Takagi,Q1365312,Q6581097,male,position-held
Takuya Takagi,Q1365312,Q6581097,male,position-held
Salem Bitar,Q7404049,Q6581097,male,opposite
Salem Bitar,Q7404049,Q6581097,male,position-held
Ammar Awad,Q45189358,Q6581097,male,opposite
Ammar Awad,Q45189358,Q6581097,male,position-held
Kenichi Shimokawa,Q2308310,Q6581097,male,opposite
Kenichi Shimokawa,Q2308310,Q6581097,male,opposite
Kenichi Shimokawa,Q2308310,Q6581097,male,position-held
Kazuyoshi Miura,Q331953,Q6581097,male,opposite
Kazuyoshi Miura,Q331953,Q6581097,male,position-held
Naoki Soma,Q957989,Q6581097,male,position-held
Naoki Soma,Q957989,Q6581097,male,position-held
Norio Omura,Q2427349,Q6581097,male,position-held
Motohiro Yamaguchi,Q583806,Q6581097,male,position-held
Yasuto Honda,Q2213316,Q6581097,male,position-held
Tarek Jabban,Q7685767,Q6581097,male,position-held
Abdul Latif Helou,Q4665502,Q6581097,male,position-held
Jean-Luc Brassard,Q3167097,Q6581097,male,geographicalRelation
Jim Moran,Q1337736,Q6581097,male,geographicalRelation
Troy Benson,Q7846762,Q6581097,male,geographicalRelation
Tatjana Mittermayer,Q88242,Q6581072,female,geographicalRelation
Candice Gilg,Q2936255,Q6581072,female,geographicalRelation
Minna Karhu,Q11781543,Q6581072,female,geographicalRelation
Tae Satoya,Q1186577,Q6581072,female,geographicalRelation
Donna Weinbrecht,Q4413243,Q6581072,female,geographicalRelation
Lee Bowyer,Q353520,Q6581097,male,position-held
Lee Bowyer,Q353520,Q6581097,male,member
Lee Bowyer,Q353520,Q6581097,male,geographicalRelation
Daniel Herbert,Q3013095,Q6581097,male,equivalent-to
Daniel Herbert,Q3013095,Q6581097,male,position-held
Daniel Herbert,Q3013095,Q6581097,male,position-held
Owen Finegan,Q3358996,Q6581097,male,opposite
Owen Finegan,Q3358996,Q6581097,male,position-held
Owen Finegan,Q3358996,Q6581097,male,position-held
Daniel Manu,Q3014401,Q6581097,male,position-held
David Campese,Q1173922,Q6581097,male,position-held
David Campese,Q1173922,Q6581097,male,member
David Campese,Q1173922,Q6581097,male,position-held
Rob Andrew,Q1403952,Q6581097,male,opposite
Rob Andrew,Q1403952,Q6581097,male,position-held
Rob Andrew,Q1403952,Q6581097,male,opposite
Rob Andrew,Q1403952,Q6581097,male,position-held
Rob Andrew,Q1403952,Q6581097,male,geographicalRelation
Tim Stimpson,Q3528697,Q6581097,male,position-held
Tim Stimpson,Q3528697,Q6581097,male,member
Tim Stimpson,Q3528697,Q6581097,male,position-held
Tim Stimpson,Q3528697,Q6581097,male,geographicalRelation
Tony Underwood,Q3531920,Q6581097,male,position-held
Tony Underwood,Q3531920,Q6581097,male,member
Tony Underwood,Q3531920,Q6581097,male,position-held
Tony Underwood,Q3531920,Q6581097,male,geographicalRelation
Norm Hewitt,Q7051494,Q6581097,male,position-held
Norm Hewitt,Q7051494,Q6581097,male,position-held
Norm Hewitt,Q7051494,Q6581097,male,position-held
Norm Hewitt,Q7051494,Q6581097,male,geographicalRelation
Allan Bateman,Q2837676,Q6581097,male,position-held
Allan Bateman,Q2837676,Q6581097,male,geographicalRelation
Gregor Townsend,Q3116311,Q6581097,male,position-held
Gregor Townsend,Q3116311,Q6581097,male,geographicalRelation
Rob Howley,Q981948,Q6581097,male,position-held
Rob Howley,Q981948,Q6581097,male,geographicalRelation
Scott Quinnell,Q1720081,Q6581097,male,position-held
Scott Quinnell,Q1720081,Q6581097,male,geographicalRelation
Neil Back,Q1168182,Q6581097,male,position-held
Neil Back,Q1168182,Q6581097,male,geographicalRelation
Dale McIntosh,Q5210548,Q6581097,male,position-held
Dale McIntosh,Q5210548,Q6581097,male,geographicalRelation
Craig Quinnell,Q3002051,Q6581097,male,position-held
Craig Quinnell,Q3002051,Q6581097,male,geographicalRelation
Darren Garforth,Q3016509,Q6581097,male,position-held
Darren Garforth,Q3016509,Q6581097,male,geographicalRelation
Nick Popplewell,Q3339789,Q6581097,male,position-held
Nick Popplewell,Q3339789,Q6581097,male,geographicalRelation
Tim Horan,Q3528646,Q6581097,male,position-held
Pat Howard,Q3368542,Q6581097,male,position-held
Michael Brial,Q3308056,Q6581097,male,position-held
David Giffin,Q3017962,Q6581097,male,position-held
Tim Gavin,Q636885,Q6581097,male,position-held
Andrew Blades,Q2846568,Q6581097,male,position-held
Des Terblanche,Q2337839,Q6581097,male,position-held
Des Terblanche,Q2337839,Q6581097,male,member
Mark McNulty,Q1349193,Q6581097,male,position-held
Mark McNulty,Q1349193,Q6581097,male,geographicalRelation
Steve van Vuuren,Q2470314,Q6581097,male,position-held
Steve van Vuuren,Q2470314,Q6581097,male,member
Nick Price,Q612279,Q6581097,male,position-held
Nick Price,Q612279,Q6581097,male,geographicalRelation
Schalk van der Merwe,Q7430937,Q6581097,male,geographicalRelation
Adilson da Silva,Q2752141,Q6581097,male,geographicalRelation
Trevor Dodds,Q2188375,Q6581097,male,geographicalRelation
Viorel Ion,Q3560510,Q6581097,male,position-held
Viorel Ion,Q3560510,Q6581097,male,position-held
Liviu Ciobotariu,Q926512,Q6581097,male,position-held
Liviu Ciobotariu,Q926512,Q6581097,male,position-held
Adrian Ilie,Q359484,Q6581097,male,position-held
Adrian Ilie,Q359484,Q6581097,male,position-held
Brian Lara,Q202877,Q6581097,male,position-held
Brian Lara,Q202877,Q6581097,male,position-held
Brian Lara,Q202877,Q6581097,male,position-held
Shane Warne,Q555240,Q6581097,male,position-held
Shane Warne,Q555240,Q6581097,male,position-held
Clive Lloyd,Q1101987,Q6581097,male,position-held
Geoff Marsh,Q2743480,Q6581097,male,member
Geoff Marsh,Q2743480,Q6581097,male,opposite
Geoff Marsh,Q2743480,Q6581097,male,member
Ian Healy,Q349135,Q6581097,male,opposite
Ian Healy,Q349135,Q6581097,male,member
Ian Healy,Q349135,Q6581097,male,position-held
Ian Healy,Q349135,Q6581097,male,position-held
Shivnarine Chanderpaul,Q967484,Q6581097,male,position-held
Shivnarine Chanderpaul,Q967484,Q6581097,male,position-held
Greg Blewett,Q5605307,Q6581097,male,position-held
Greg Blewett,Q5605307,Q6581097,male,position-held
David Boon,Q3017555,Q6581097,male,position-held
Shaun Young,Q7491013,Q6581097,male,position-held
Courtney Walsh,Q983740,Q6581097,male,position-held
Courtney Walsh,Q983740,Q6581097,male,position-held
Courtney Walsh,Q983740,Q6581097,male,position-held
Mark Waugh,Q3177366,Q6581097,male,position-held
Ricky Ponting,Q472649,Q6581097,male,position-held
Michael Bevan,Q3107289,Q6581097,male,position-held
Stuart Law,Q26992,Q6581097,male,position-held
Paul Reiffel,Q7153163,Q6581097,male,position-held
Jason Gillespie,Q3107260,Q6581097,male,position-held
Glenn McGrath,Q1392178,Q6581097,male,position-held
Sherwin Campbell,Q7495466,Q6581097,male,position-held
Robert Samuels,Q7349553,Q6581097,male,position-held
Carl Hooper,Q5040337,Q6581097,male,position-held
Jimmy Adams,Q3763931,Q6581097,male,position-held
Junior Murray,Q6313384,Q6581097,male,position-held
Nixon McLean,Q16214515,Q6581097,male,position-held
Curtly Ambrose,Q3007862,Q6581097,male,position-held
Roland Holder,Q7360273,Q6581097,male,position-held
Thomas Stuer-Lauridsen,Q973256,Q6581097,male,participated
Thomas Stuer-Lauridsen,Q973256,Q6581097,male,geographicalRelation
Ong Ewe Hock,Q2024205,Q6581097,male,participated
Ong Ewe Hock,Q2024205,Q6581097,male,geographicalRelation
Rashid Sidek,Q958235,Q6581097,male,participated
Rashid Sidek,Q958235,Q6581097,male,geographicalRelation
Hermawan Susanto,Q979967,Q6581097,male,geographicalRelation
Hermawan Susanto,Q979967,Q6581097,male,participated
Budi Santoso,Q1001420,Q6581097,male,geographicalRelation
Budi Santoso,Q1001420,Q6581097,male,participated
Fung Permadi,Q463102,Q6581097,male,geographicalRelation
Fung Permadi,Q463102,Q6581097,male,opposite
Gong Zhichao,Q272479,Q6581072,female,geographicalRelation
Gong Zhichao,Q272479,Q6581072,female,participated
Mia Audina,Q265153,Q6581072,female,participated
Mia Audina,Q265153,Q6581072,female,geographicalRelation
Ye Zhaoying,Q275158,Q6581072,female,geographicalRelation
Ye Zhaoying,Q275158,Q6581072,female,participated
Ye Zhaoying,Q275158,Q6581072,female,geographicalRelation
Ye Zhaoying,Q275158,Q6581072,female,opposite
Meiluawati,Q1917844,Q6581072,female,participated
Meiluawati,Q1917844,Q6581072,female,geographicalRelation
Camilla Martin,Q448676,Q6581072,female,geographicalRelation
Camilla Martin,Q448676,Q6581072,female,participated
Camilla Martin,Q448676,Q6581072,female,opposite
Camilla Martin,Q448676,Q6581072,female,geographicalRelation
Susi Susanti,Q464589,Q6581072,female,geographicalRelation
Susi Susanti,Q464589,Q6581072,female,participated
Susi Susanti,Q464589,Q6581072,female,geographicalRelation
Susi Susanti,Q464589,Q6581072,female,opposite
Daniel Pearl,Q357936,Q6581097,male,position-held
Daniel Pearl,Q357936,Q6581097,male,geographicalRelation
John Waters,Q314926,Q6581097,male,position-held
Walter R. Booth,Q134062,Q6581097,male,position-held
Walter R. Booth,Q134062,Q6581097,male,position-held
Cecil Hepworth,Q1052322,Q6581097,male,position-held
Chris Landreth,Q329073,Q6581097,male,geographicalRelation
Chris Landreth,Q329073,Q6581097,male,member
Chris Landreth,Q329073,Q6581097,male,participated
Zack Snyder,Q139890,Q6581097,male,usage
Zack Snyder,Q139890,Q6581097,male,contributes
Clint Eastwood,Q43203,Q6581097,male,usage
Clint Eastwood,Q43203,Q6581097,male,contributes
Damien Chazelle,Q18350026,Q6581097,male,usage
Damien Chazelle,Q18350026,Q6581097,male,contributes
Patty Jenkins,Q456910,Q6581072,female,usage
Patty Jenkins,Q456910,Q6581072,female,contributes
Cary Joji Fukunaga,Q512103,Q6581097,male,usage
Cary Joji Fukunaga,Q512103,Q6581097,male,contributes
Joseph Kosinski,Q2444076,Q6581097,male,usage
Joseph Kosinski,Q2444076,Q6581097,male,contributes
Louis Daguerre,Q131405,Q6581097,male,contributes
Henry Fox Talbot,Q299565,Q6581097,male,contributes
David Avidan,Q706526,Q6581097,male,equivalent-to
Carmen Electra,Q185122,Q6581072,female,position-held
Traci Bingham,Q263906,Q6581072,female,position-held
Heidi Mark,Q2249390,Q6581072,female,position-held
Joanne Dru,Q240250,Q6581072,female,position-held
Macdonald Carey,Q304828,Q6581097,male,position-held
Kenny Florian,Q1365755,Q6581097,male,position-held
Nina Axelrod,Q4409586,Q6581072,female,position-held
Adam Savage,Q297618,Q6581097,male,member
Adam Savage,Q297618,Q6581097,male,position-held
Vernon Davis,Q1972672,Q6581097,male,position-held
Arthur Ganson,Q709449,Q6581097,male,geographicalRelation
Sam Katzman,Q7407730,Q6581097,male,position-held
William Castle,Q934087,Q6581097,male,position-held
Howard Keel,Q325427,Q6581097,male,position-held
Kathryn Grayson,Q234117,Q6581072,female,position-held
Ann Miller,Q241701,Q6581072,female,position-held
Keenan Wynn,Q946859,Q6581097,male,position-held
Bobby Van,Q4935658,Q6581097,male,position-held
James Whitmore,Q313040,Q6581097,male,position-held
John B. Mason,Q6220032,Q6581097,male,position-held
L. Scott Caldwell,Q1990672,Q6581072,female,contributes
L. Scott Caldwell,Q1990672,Q6581072,female,position-held
Sam Anderson,Q374447,Q6581097,male,contributes
Sam Anderson,Q374447,Q6581097,male,position-held
Derek Shepherd,Q941961,Q6581097,male,relationship
Derek Shepherd,Q941961,Q6581097,male,contributes
Derek Shepherd,Q941961,Q6581097,male,position-held
Patrick Dempsey,Q212518,Q6581097,male,contributes
Patrick Dempsey,Q212518,Q6581097,male,position-held
Izzie Stevens,Q2263741,Q6581072,female,contributes
Izzie Stevens,Q2263741,Q6581072,female,position-held
Izzie Stevens,Q2263741,Q6581072,female,contributes
Izzie Stevens,Q2263741,Q6581072,female,relationship
Izzie Stevens,Q2263741,Q6581072,female,position-held
Katherine Heigl,Q189554,Q6581072,female,contributes
Katherine Heigl,Q189554,Q6581072,female,position-held
Katherine Heigl,Q189554,Q6581072,female,contributes
Katherine Heigl,Q189554,Q6581072,female,position-held
Jeffrey Dean Morgan,Q342665,Q6581097,male,contributes
Jeffrey Dean Morgan,Q342665,Q6581097,male,position-held
Jeffrey Dean Morgan,Q342665,Q6581097,male,contributes
Jeffrey Dean Morgan,Q342665,Q6581097,male,position-held
Meredith Grey,Q429828,Q6581072,female,contributes
Meredith Grey,Q429828,Q6581072,female,position-held
Ellen Pompeo,Q215849,Q6581072,female,contributes
Ellen Pompeo,Q215849,Q6581072,female,position-held
Vladimir Menshov,Q726105,Q6581097,male,participated
John Sevier,Q888391,Q6581097,male,member
Hanging Maw,Q5648002,Q6581097,male,equivalent-to
Hanging Maw,Q5648002,Q6581097,male,geographicalRelation
Apollo,Q37340,Q6581097,male,relationship
Apollo,Q37340,Q6581097,male,contributes
Leigh S. J. Hunt,Q6519669,Q6581097,male,geographicalRelation
Alessandra Becatti,Q37783606,Q6581072,female,member
Alessandra Becatti,Q37783606,Q6581072,female,position-held
Hermann Sudermann,Q65448,Q6581097,male,contributes
Henry Stephenson,Q1607291,Q6581097,male,position-held
Charles Waldron,Q2960422,Q6581097,male,position-held
Juan Miguel Aguilera,Q3109112,Q6581097,male,equivalent-to
Elizabeth Mitchell,Q229394,Q6581072,female,position-held
Elizabeth Mitchell,Q229394,Q6581072,female,contributes
Juliet Burke,Q51298,Q6581072,female,position-held
Juliet Burke,Q51298,Q6581072,female,contributes
Kiele Sanchez,Q230465,Q6581072,female,position-held
Kiele Sanchez,Q230465,Q6581072,female,contributes
Rodrigo Santoro,Q294819,Q6581097,male,position-held
Rodrigo Santoro,Q294819,Q6581097,male,contributes
Jay Boekelheide,Q1684305,Q6581097,male,participated
Randy Thom,Q2130828,Q6581097,male,participated
Loretta Devine,Q257271,Q6581072,female,contributes
Loretta Devine,Q257271,Q6581072,female,position-held
Sarah Utterback,Q454541,Q6581072,female,contributes
Sarah Utterback,Q454541,Q6581072,female,position-held
Earl Bellamy,Q524386,Q6581097,male,contributes
Richard Boone,Q1277018,Q6581097,male,position-held
Henry Wilcoxon,Q1372180,Q6581097,male,position-held
Michael Winner,Q722890,Q6581097,male,contributes
Michael Caine,Q123351,Q6581097,male,geographicalRelation
Michael Caine,Q123351,Q6581097,male,position-held
Michael Caine,Q123351,Q6581097,male,position-held
Michael Caine,Q123351,Q6581097,male,position-held
Roger Moore,Q134333,Q6581097,male,position-held
M. C. Gainey,Q722038,Q6581097,male,contributes
M. C. Gainey,Q722038,Q6581097,male,position-held
Ethan Rom,Q51692,Q6581097,male,contributes
Ethan Rom,Q51692,Q6581097,male,position-held
William Mapother,Q318231,Q6581097,male,contributes
William Mapother,Q318231,Q6581097,male,position-held
Constantine XI Palaiologos,Q37142,Q6581097,male,member
Miloš Obilić,Q314075,Q6581097,male,member
Đurađ I Balšić,Q2592835,Q6581097,male,member
Ivan Crnojević,Q1281792,Q6581097,male,member
Nikola Karev,Q1396875,Q6581097,male,member
Vasil Levski,Q318461,Q6581097,male,member
Hristo Botev,Q347118,Q6581097,male,member
Miranda Bailey,Q2400233,Q6581072,female,contributes
Miranda Bailey,Q2400233,Q6581072,female,relationship
Miranda Bailey,Q2400233,Q6581072,female,position-held
Chandra Wilson,Q40090,Q6581072,female,contributes
Chandra Wilson,Q40090,Q6581072,female,relationship
Chandra Wilson,Q40090,Q6581072,female,position-held
Callie Torres,Q2397174,Q6581072,female,contributes
Callie Torres,Q2397174,Q6581072,female,position-held
Henry Ian Cusick,Q294404,Q6581097,male,position-held
Henry Ian Cusick,Q294404,Q6581097,male,contributes
Desmond Hume,Q51287,Q6581097,male,position-held
Desmond Hume,Q51287,Q6581097,male,equivalent-to
Desmond Hume,Q51287,Q6581097,male,contributes
Michael Emerson,Q276302,Q6581097,male,position-held
Michael Emerson,Q276302,Q6581097,male,contributes
Ben Linus,Q51281,Q6581097,male,position-held
Ben Linus,Q51281,Q6581097,male,contributes
Robin Williams,Q83338,Q6581097,male,position-held
Scott Weinger,Q892444,Q6581097,male,position-held
Porus,Q28935,Q6581097,male,member
Perdiccas,Q202113,Q6581097,male,participated
Vladan Đorđević,Q701339,Q6581097,male,geographicalRelation
Bruce Willis,Q2680,Q6581097,male,position-held
Sylvester Stallone,Q40026,Q6581097,male,position-held
Demi Moore,Q43044,Q6581072,female,position-held
Helen Keller,Q38203,Q6581072,female,contributes
Helen Keller,Q38203,Q6581072,female,position-held
Crystal Eastman,Q4945589,Q6581072,female,contributes
Crystal Eastman,Q4945589,Q6581072,female,position-held
Walter Nelles,Q7965711,Q6581097,male,contributes
Walter Nelles,Q7965711,Q6581097,male,position-held
Morris Ernst,Q6913689,Q6581097,male,contributes
Morris Ernst,Q6913689,Q6581097,male,position-held
Morris Ernst,Q6913689,Q6581097,male,position-held
Morris Ernst,Q6913689,Q6581097,male,opposite
Morris Ernst,Q6913689,Q6581097,male,opposite
Morris Ernst,Q6913689,Q6581097,male,opposite
Albert DeSilver,Q4710022,Q6581097,male,contributes
Albert DeSilver,Q4710022,Q6581097,male,position-held
Arthur Garfield Hays,Q4798786,Q6581097,male,contributes
Arthur Garfield Hays,Q4798786,Q6581097,male,position-held
Jane Addams,Q180989,Q6581072,female,contributes
Jane Addams,Q180989,Q6581072,female,position-held
Felix Frankfurter,Q1403472,Q6581097,male,contributes
Felix Frankfurter,Q1403472,Q6581097,male,position-held
Norman Thomas,Q162820,Q6581097,male,position-held
Norman Thomas,Q162820,Q6581097,male,opposite
Norman Thomas,Q162820,Q6581097,male,opposite
Norman Thomas,Q162820,Q6581097,male,opposite
John Haynes Holmes,Q15460850,Q6581097,male,position-held
John Haynes Holmes,Q15460850,Q6581097,male,opposite
John Haynes Holmes,Q15460850,Q6581097,male,opposite
John Haynes Holmes,Q15460850,Q6581097,male,opposite
Harry F. Ward,Q15436540,Q6581097,male,opposite
Harry F. Ward,Q15436540,Q6581097,male,opposite
Harry F. Ward,Q15436540,Q6581097,male,opposite
Harry F. Ward,Q15436540,Q6581097,male,position-held
Corliss Lamont,Q2478543,Q6581097,male,opposite
Corliss Lamont,Q2478543,Q6581097,male,opposite
Corliss Lamont,Q2478543,Q6581097,male,opposite
Corliss Lamont,Q2478543,Q6581097,male,position-held
Elizabeth Gurley Flynn,Q463265,Q6581072,female,contributes
Elizabeth Gurley Flynn,Q463265,Q6581072,female,position-held
Elizabeth Gurley Flynn,Q463265,Q6581072,female,opposite
Elizabeth Gurley Flynn,Q463265,Q6581072,female,opposite
Elizabeth Gurley Flynn,Q463265,Q6581072,female,opposite
Elizabeth Gurley Flynn,Q463265,Q6581072,female,position-held
Sunetra Sarker,Q7639958,Q6581072,female,position-held
Sunetra Sarker,Q7639958,Q6581072,female,position-held
Wes Nelson,Q61742302,Q6581097,male,position-held
Wes Nelson,Q61742302,Q6581097,male,position-held
Nikki Sanderson,Q3876884,Q6581072,female,position-held
Nikki Sanderson,Q3876884,Q6581072,female,position-held
Muhammad Ali,Q36107,Q6581097,male,relationship
Michael Aris,Q983928,Q6581097,male,relationship
Michael Aris,Q983928,Q6581097,male,contributes
Michael Aris,Q983928,Q6581097,male,topic
Michael Aris,Q983928,Q6581097,male,position-held
Luc Besson,Q484779,Q6581097,male,contributes
Michelle Yeoh,Q214289,Q6581072,female,contributes
Michelle Yeoh,Q214289,Q6581072,female,position-held
David Thewlis,Q212790,Q6581097,male,contributes
David Thewlis,Q212790,Q6581097,male,position-held
Cvjetko Popović,Q5197155,Q6581097,male,position-held
Cvjetko Popović,Q5197155,Q6581097,male,position-held
Muhamed Mehmedbašić,Q3498411,Q6581097,male,position-held
Muhamed Mehmedbašić,Q3498411,Q6581097,male,position-held
Vaso Čubrilović,Q550413,Q6581097,male,position-held
Vaso Čubrilović,Q550413,Q6581097,male,position-held
Yasser Arafat,Q34211,Q6581097,male,position-held
Yasser Arafat,Q34211,Q6581097,male,equivalent-to
Yasser Arafat,Q34211,Q6581097,male,geographicalRelation
Yasser Arafat,Q34211,Q6581097,male,equivalent-to
Yasser Arafat,Q34211,Q6581097,male,relationship
Yasser Arafat,Q34211,Q6581097,male,geographicalRelation
Benjamin Netanyahu,Q43723,Q6581097,male,equivalent-to
Benjamin Netanyahu,Q43723,Q6581097,male,opposite
Benjamin Netanyahu,Q43723,Q6581097,male,opposite
Walter Hallstein,Q159995,Q6581097,male,position-held
Walter Hallstein,Q159995,Q6581097,male,position-held
Walter Hallstein,Q159995,Q6581097,male,position-held
Walter Hallstein,Q159995,Q6581097,male,position-held
Walter Hallstein,Q159995,Q6581097,male,position-held
Walter Hallstein,Q159995,Q6581097,male,position-held
Walter Hallstein,Q159995,Q6581097,male,position-held
Walter Hallstein,Q159995,Q6581097,male,position-held
Walter Hallstein,Q159995,Q6581097,male,position-held
Walter Hallstein,Q159995,Q6581097,male,position-held
John of Gaunt,Q193752,Q6581097,male,position-held
John of Gaunt,Q193752,Q6581097,male,relationship
Liu Bei,Q245315,Q6581097,male,participated
Sun Quan,Q313327,Q6581097,male,participated
Sun Quan,Q313327,Q6581097,male,position-held
Lü Meng,Q470080,Q6581097,male,position-held
Kat Bjelland,Q2638175,Q6581072,female,member
Kat Bjelland,Q2638175,Q6581072,female,geographicalRelation
Greta Garbo,Q5443,Q6581072,female,position-held
George Cukor,Q56014,Q6581097,male,position-held
Sean Bean,Q191104,Q6581097,male,position-held
Owen Teale,Q361536,Q6581097,male,position-held
Nero,Q1413,Q6581097,male,position-held
Jean Dujardin,Q189422,Q6581097,male,position-held
Jean Dujardin,Q189422,Q6581097,male,contributes
Georges Picquart,Q717539,Q6581097,male,equivalent-to
Alfred Dreyfus,Q171826,Q6581097,male,member
Alfred Dreyfus,Q171826,Q6581097,male,position-held
Alfred Dreyfus,Q171826,Q6581097,male,geographicalRelation
Mansur I,Q2717231,Q6581097,male,position-held
Volker Schlöndorff,Q57316,Q6581097,male,contributes
Volker Schlöndorff,Q57316,Q6581097,male,participated
Shirley Temple,Q182580,Q6581072,female,position-held
Shirley Temple,Q182580,Q6581072,female,position-held
Alan Greenspan,Q193635,Q6581097,male,position-held
Alan Greenspan,Q193635,Q6581097,male,position-held
Nathaniel Branden,Q741456,Q6581097,male,equivalent-to
Leonard Peikoff,Q1235503,Q6581097,male,relationship
Maxwell Knight,Q6796120,Q6581097,male,geographicalRelation
Samuel Pepys,Q106143,Q6581097,male,member
Leslie Howard,Q156178,Q6581097,male,contributes
Leslie Howard,Q156178,Q6581097,male,position-held
Ada Lovelace,Q7259,Q6581072,female,member
Alexander Iolas,Q2622622,Q6581097,male,position-held
Leonardo da Vinci,Q762,Q6581097,male,equivalent-to
Leonardo da Vinci,Q762,Q6581097,male,equivalent-to
Leonardo da Vinci,Q762,Q6581097,male,contributes
Mary Pickford,Q104109,Q6581072,female,member
Mary Pickford,Q104109,Q6581072,female,position-held
Douglas Fairbanks,Q104127,Q6581097,male,relationship
Douglas Fairbanks,Q104127,Q6581097,male,position-held
Franklin Lewis,Q5491663,Q6581097,male,geographicalRelation
Franklin Lewis,Q5491663,Q6581097,male,position-held
Rem Koolhaas,Q232364,Q6581097,male,equivalent-to
Alec Baldwin,Q170572,Q6581097,male,position-held
Alec Baldwin,Q170572,Q6581097,male,contributes
Brian Stokes Mitchell,Q3644511,Q6581097,male,position-held
Brian Stokes Mitchell,Q3644511,Q6581097,male,contributes
Walter Bobbie,Q7964331,Q6581097,male,position-held
Elton John,Q2808,Q6581097,male,geographicalRelation
Elton John,Q2808,Q6581097,male,position-held
Richard Branson,Q194419,Q6581097,male,geographicalRelation
Richard Branson,Q194419,Q6581097,male,position-held
Simon Cowell,Q162629,Q6581097,male,geographicalRelation
Simon Cowell,Q162629,Q6581097,male,position-held
Anatole Litvak,Q213581,Q6581097,male,contributes
Aeneas,Q82732,Q6581097,male,member
Aeneas,Q82732,Q6581097,male,relationship
Lena Dunham,Q288359,Q6581072,female,contributes
Lena Dunham,Q288359,Q6581072,female,position-held
Victor Fleming,Q62503,Q6581097,male,position-held
Victor Fleming,Q62503,Q6581097,male,geographicalRelation
Victor Fleming,Q62503,Q6581097,male,contributes
Victor Fleming,Q62503,Q6581097,male,contributes
Ron Howard,Q103646,Q6581097,male,position-held
Roger Perry,Q3439358,Q6581097,male,geographicalRelation
Mart Laar,Q307473,Q6581097,male,position-held
Mart Laar,Q307473,Q6581097,male,position-held
Walt Disney,Q8704,Q6581097,male,position-held
Theseus,Q1320718,Q6581097,male,member
Theseus,Q1320718,Q6581097,male,geographicalRelation
Theseus,Q1320718,Q6581097,male,geographicalRelation
Theseus,Q1320718,Q6581097,male,geographicalRelation
Pierre Teilhard de Chardin,Q189564,Q6581097,male,geographicalRelation
Pierre Teilhard de Chardin,Q189564,Q6581097,male,relationship
Pierre Teilhard de Chardin,Q189564,Q6581097,male,relationship
Ethan Hawke,Q484615,Q6581097,male,position-held
Gwyneth Paltrow,Q34460,Q6581072,female,position-held
Jareth,Q6160149,Q6581097,male,member
Jareth,Q6160149,Q6581097,male,equivalent-to
Pontius Pilate,Q17131,Q6581097,male,member
Harry James,Q163861,Q6581097,male,relationship
Mikhail Romm,Q461726,Q6581097,male,position-held
Mikhail Romm,Q461726,Q6581097,male,geographicalRelation
Mikhail Romm,Q461726,Q6581097,male,position-held
Kim Basinger,Q131380,Q6581072,female,position-held
Harry Dean Stanton,Q314290,Q6581097,male,position-held
Randy Quaid,Q316647,Q6581097,male,position-held
Elizabeth Branwell,Q3051192,Q6581072,female,relationship
Charles Lindbergh,Q1618,Q6581097,male,position-held
Krishna,Q42891,Q6581097,male,relationship
Krishna,Q42891,Q6581097,male,geographicalRelation
George Canning,Q219731,Q6581097,male,equivalent-to
Napoleon,Q517,Q6581097,male,position-held
Napoleon,Q517,Q6581097,male,contributes
Napoleon,Q517,Q6581097,male,participated
Napoleon,Q517,Q6581097,male,position-held
Napoleon,Q517,Q6581097,male,contributes
NeNe Leakes,Q6983877,Q6581072,female,position-held
Nicki Minaj,Q162202,Q6581072,female,position-held
Solange Knowles,Q231228,Q6581072,female,position-held
Mariah Carey,Q41076,Q6581072,female,position-held
Lutz D. Schmadel,Q62374,Q6581097,male,contributes
Lutz D. Schmadel,Q62374,Q6581097,male,relationship
Jeffrey Lieber,Q376260,Q6581097,male,contributes
J. J. Abrams,Q188137,Q6581097,male,contributes
J. J. Abrams,Q188137,Q6581097,male,equivalent-to
Damon Lindelof,Q310556,Q6581097,male,contributes
Lynn Ahrens,Q293323,Q6581072,female,participated
Mark Harmon,Q296774,Q6581097,male,member
Mark Harmon,Q296774,Q6581097,male,position-held
Mark Harmon,Q296774,Q6581097,male,contributes
Fredric Lehne,Q1364838,Q6581097,male,member
Fredric Lehne,Q1364838,Q6581097,male,position-held
Fredric Lehne,Q1364838,Q6581097,male,contributes
Max Wright,Q550653,Q6581097,male,member
Max Wright,Q550653,Q6581097,male,position-held
Max Wright,Q550653,Q6581097,male,contributes
Ellis Hillman,Q16013645,Q6581097,male,relationship
Ellis Hillman,Q16013645,Q6581097,male,geographicalRelation
Ellis Hillman,Q16013645,Q6581097,male,position-held
Ellis Hillman,Q16013645,Q6581097,male,position-held
Catherine Zeta-Jones,Q47664,Q6581072,female,position-held
Catherine Zeta-Jones,Q47664,Q6581072,female,contributes
Velma Kelly,Q7919235,Q6581072,female,position-held
Velma Kelly,Q7919235,Q6581072,female,contributes
