person,label
Uranus,Q324
Neptune,Q332
MIT Lincoln Laboratory,Q3138607
--NME--,--NME--
--NME--,--NME--
Artificial intelligence,Q11660
Alan Turing,Q7251
John von Neumann,Q17455
Norbert Wiener,Q178577
Claude Shannon,Q92760
Warren Sturgis McCulloch,Q962174
Walter Pitts,Q705010
Donald O. Hebb,Q683246
Lawrence Murphy,Q6374029
--NME--,--NME--
John Tunstall,Q2001011
Alexander McSween,Q4719637
"Santa Fe, New Mexico",Q38555
"Washington, D.C.",Q61
--NME--,--NME--
Ingrid van Houten-Groeneveld,Q231642
Cornelis Johannes van Houten,Q336095
--NME--,--NME--
Tom Gehrels,Q312255
Palomar Observatory,Q191684
--NME--,--NME--
--NME--,--NME--
Gerard Kuiper,Q192948
Albert Einstein,Q937
Michele Besso,Q124446
Paul Ehrenfest,Q84227
Marcel Grossmann,Q115769
János Plesch,Q1085905
Daniel Q. Posin,Q21526692
Maurice Solovine,Q3301425
Stephen Samuel Wise,Q1636973
--NME--,--NME--
Soviet atomic bomb project,Q2006230
--NME--,--NME--
TU Dresden,Q158158
Heinz Barwich,Q91656
Werner Hartmann (physicist),Q111033
--NME--,--NME--
--NME--,--NME--
Heinz Pose,Q78104
Ernst Rexer,Q118326
--NME--,--NME--
Obninsk,Q175651
--NME--,--NME--
Oliver Coleman,Q6050046
Walter Dyett,Q347481
American Conservatory of Music,Q4743519
--NME--,--NME--
Adjoa Andoh,Q2824489
Penelope Wilton,Q544165
Martha Jones,Q2526905
Martha Jones,Q2526905
Harriet Jones,Q3127739
Jane Goodall Institute,Q958460
Jane Goodall Institute,Q958460
Wildlife Conservation Society,Q2118246
Wildlife Conservation Society,Q2118246
Humane Society of the United States,Q1636612
Humane Society of the United States,Q1636612
Emmanuelle Charpentier,Q17280087
CRISPR,Q412563
Cas9,Q16965677
Genome editing,Q5533489
--NME--,--NME--
--NME--,--NME--
Primetime Emmy Award for Outstanding Directing for a Variety Series,Q25831324
--NME--,--NME--
George Hearn,Q2625337
Angela Lansbury,Q206856
Otto Heckmann,Q62016
Engelbert Schücking,Q95668
Hamburg Observatory,Q681942
Beatrice Mintz,Q265353
Rudolf Jaenisch,Q90073
DNA,Q7430
Embryonic development,Q33196
Tenth Doctor,Q2656347
David Tennant,Q214601
Donna Noble,Q2987625
Catherine Tate,Q254766
--NME--,--NME--
Jack Harkness,Q561140
John Barrowman,Q24632
Martha Jones,Q2526905
Freema Agyeman,Q234430
Sarah Jane Smith,Q587725
Elisabeth Sladen,Q234539
Rose Tyler,Q2071982
Billie Piper,Q151113
Dalek,Q853715
--NME--,--NME--
National Advisory Committee for Aeronautics,Q618604
National Advisory Committee for Aeronautics,Q618604
NASA,Q23548
American Mathematical Society,Q465654
American Physical Society,Q466113
--NME--,--NME--
Advances in Theoretical and Mathematical Physics,Q2913455
Journal of High Energy Physics,Q26535
--NME--,--NME--
Physical Review B,Q2284414
--NME--,--NME--
The Doctor (Doctor Who),Q34358
Richard E. Grant,Q380856
Jim Broadbent,Q185079
Hugh Grant,Q163286
Joanna Lumley,Q254886
--NME--,--NME--
American Astronautical Society,Q2374169
International Academy of Astronautics,Q263263
California Academy of Sciences,Q965731
American Institute of Aeronautics and Astronautics,Q465165
--NME--,--NME--
Rome,Q220
--NME--,--NME--
Man of Peace,Q6746404
Bôcher Memorial Prize,Q301837
Leroy P. Steele Prize,Q925929
American Mathematical Society,Q465654
Wigner Medal,Q462544
National Medal of Science,Q737051
Abel Prize,Q188184
Michael Atiyah,Q208356
Stanley Cohen (biochemist),Q232299
--NME--,--NME--
Rita Levi-Montalcini,Q185007
Nobel Prize in Physiology or Medicine,Q80061
Nerve growth factor,Q417782
Epidermal growth factor,Q424374
Biomechanics,Q193378
--NME--,--NME--
Neurophysiology,Q660910
Nobel Prize in Physiology or Medicine,Q80061
Peter Medawar,Q214209
August Krogh,Q152187
--NME--,--NME--
University of Edinburgh,Q160302
Kenneth Denbigh,Q21166482
Chemical Engineering Science,Q15716780
--NME--,--NME--
Scientific journal,Q5633421
Current Science,Q5195083
Journal of Biosciences,Q2092222
India,Q668
Bangalore,Q1355
Erwin Schrödinger,Q9130
Quantum mechanics,Q944
Max Planck,Q9021
Albert Einstein,Q937
Niels Bohr,Q7085
Arnold Sommerfeld,Q77078
Jeremy (song),Q1786535
Grammy Award for Best Rock Song,Q282636
Grammy Award for Best Hard Rock Performance,Q1542160
Jeremy (song),Q1786535
VH1,Q203078
--NME--,--NME--
Nature Communications,Q573880
Journal of the American Chemical Society,Q898902
Journal of the American Chemical Society,Q898902
Angewandte Chemie,Q538683
Andrei Sakharov,Q997
Committee on Human Rights in the USSR,Q4229735
Valery Chalidze,Q1458543
Andrei Tverdokhlebov,Q4453170
Saturn Award for Best Actress on Television,Q1263057
Claudia Black,Q229225
--NME--,--NME--
Saturn Award for Best Supporting Actress on Television,Q1265685
Virginia Hey,Q275502
--NME--,--NME--
Alan Stern,Q2331659
NASA,Q23548
Pluto,Q339
Earth,Q2
Mars,Q111
Jupiter,Q319
Neptune,Q332
Pluto,Q339
--NME--,--NME--
British Astronomical Association,Q918776
Society for Popular Astronomy,Q7552201
Astronomy,Q333
BBC,Q9531
The Sky at Night,Q795330
--NME--,--NME--
George Darwin,Q325016
Charles Darwin,Q1035
Moon,Q405
Earth,Q2
Earth,Q2
Earth,Q2
Kuyper College,Q6449111
Cardus,Q17101245
--NME--,--NME--
Calvin University (Michigan),Q2698482
--NME--,--NME--
Dordt University,Q3112939
--NME--,--NME--
Redeemer University College,Q7305718
Coalition for Christian Outreach,Q5137929
Covenant College,Q5178987
Center for Public Justice,Q5059831
--NME--,--NME--
Buffy the Vampire Slayer,Q183513
--NME--,--NME--
--NME--,--NME--
Sarah Michelle Gellar,Q180665
Golden Globe Award for Best Actress – Television Series Drama,Q1257501
TCA Awards,Q3517351
Gilbert Jerome Perlow,Q5561005
--NME--,--NME--
Mössbauer effect,Q918552
Journal of Applied Physics,Q1987941
Applied Physics Letters,Q621615
Werner Heisenberg,Q40904
Nobel Prize in Physics,Q38104
Peter Debye,Q103835
Nobel Prize in Chemistry,Q44585
Richard Becker (physicist),Q85556
Arnold Sommerfeld,Q77078
Chamberland filter,Q4118450
Chamberland filter,Q4118450
Ceramic water filter,Q4444752
Charles Chamberland,Q1063929
--NME--,--NME--
Journal of High Energy Physics,Q26535
Journal of Cosmology and Astroparticle Physics,Q1520843
Physical Review Letters,Q2018386
--NME--,--NME--
Grammy Award,Q41254
Grammy Award for Best New Age Album,Q5593841
Golden Globe Awards,Q1011547
Golden Globe Award for Best Original Score,Q1422140
The Patriot (1998 film),Q1753433
Academy Awards,Q19020
Academy Award for Best Sound Mixing,Q830079
Kevin O'Connell (sound mixer),Q1378692
Greg P. Russell,Q1305465
Lee Orloff,Q2506653
Academy Award for Best Cinematography,Q131520
Academy Award for Best Original Score,Q488651
--NME--,--NME--
American Academy of Arts and Sciences,Q463303
National Academy of Sciences,Q270794
American Philosophical Society,Q466089
American Chemical Society,Q247556
--NME--,--NME--
Nature (journal),Q180445
Science (journal),Q192864
Physical Review Letters,Q2018386
Angewandte Chemie,Q538683
Journal of the American Chemical Society,Q898902
--NME--,--NME--
Ernest Orlando Lawrence Award,Q1356190
Nobel Prize in Physics,Q38104
Eringen Medal,Q14847932
--NME--,--NME--
--NME--,--NME--
Italy,Q38
--NME--,--NME--
Brescia,Q6221
Italy,Q38
NASA,Q23548
Scottish Government,Q32521
Royal College of Surgeons of Edinburgh,Q2171012
Wellcome Trust,Q326276
Museums Association,Q16931672
--NME--,--NME--
Systematic and Applied Microbiology,Q15749219
Archives of Microbiology,Q15762939
--NME--,--NME--
--NME--,--NME--
Ontario Cancer Institute,Q7094613
Princess Margaret Cancer Centre,Q7244693
University Health Network,Q7894718
University of Toronto Faculty of Medicine,Q7896486
--NME--,--NME--
Arthur Miller,Q80596
Tennessee Williams,Q134262
Academy Awards,Q19020
Emmy Award,Q123737
Tony Award,Q191874
British Academy of Film and Television Arts,Q159661
Laurence Olivier Award for Best Actress,Q6500774
Cannes Film Festival Award for Best Actress,Q840286
Golden Globe Awards,Q1011547
Screen Actors Guild Award,Q268200
--NME--,--NME--
Society for Social Studies of Science,Q2947418
--NME--,--NME--
Ludwik Fleck Prize,Q3404981
Carl Sagan,Q410
--NME--,--NME--
American Astronomical Society,Q463435
--NME--,--NME--
Planetary science,Q104499
American Geophysical Union,Q464704
Astronomy,Q333
American Association for the Advancement of Science,Q40358
--NME--,--NME--
--NME--,--NME--
University of Oxford,Q34433
University of Paris,Q209842
--NME--,--NME--
University of Strasbourg,Q157575
Université catholique de Louvain,Q378134
Uppsala University,Q185246
--NME--,--NME--
University of Lyon,Q10176
Eötvös Loránd University,Q390287
National and Kapodistrian University of Athens,Q547867
University of London,Q170027
University of Toronto,Q180865
Harvard University,Q13371
University of Dublin,Q2496094
--NME--,--NME--
University of Edinburgh,Q160302
Université de Montréal,Q392189
University of Liverpool,Q499510
Brussels,Q240
University of Sheffield,Q823917
University of Bern,Q659080
University of Birmingham,Q223429
Walther Bothe,Q76474
Robert Döpel,Q91641
Hans Geiger,Q57189
Wolfgang Gentner,Q96524
Walther Bothe,Q76474
Wilhelm Hanle,Q94038
Gerhard Hoffmann,Q5550685
Georg Joos,Q90697
Peter Debye,Q103835
--NME--,--NME--
Theoretical physics,Q18362
Carl Friedrich von Weizsäcker,Q65350
Otto Scherzer,Q107545
Georg Joos,Q90697
Otto Heckmann,Q62016
Hans Kopfermann,Q97326
--NME--,--NME--
Werner Heisenberg,Q40904
Hans Kopfermann,Q97326
Friedrich Bopp,Q91356
Walther Bothe,Q76474
--NME--,--NME--
Wolfgang Gentner,Q96524
Otto Haxel,Q112961
Willibald Jentschke,Q88380
Heinz Maier-Leibnitz,Q91169
Josef Mattauch,Q101378
--NME--,--NME--
Wilhelm Walcher,Q91387
Liberal Party of Canada,Q138345
--NME--,--NME--
Niagara Falls (electoral district),Q3339434
Cabinet of Canada,Q2458227
Liberal Party of Canada,Q138345
Progressive Conservative Party of Canada,Q1292617
John Diefenbaker,Q128614
1963 Canadian federal election,Q937472
Shinui,Q1500739
Shulamit Aloni,Q267335
Ratz (political party),Q2915831
Zionism,Q42388
--NME--,--NME--
Mapam,Q1428864
Meretz,Q239951
--NME--,--NME--
--NME--,--NME--
Liberalism in Israel,Q6540908
--NME--,--NME--
Quebec sovereignty movement,Q1321476
Quebec Liberal Party,Q1631384
Parti Québécois,Q950356
--NME--,--NME--
Liberal Party of Canada,Q138345
Quebec Liberal Party,Q1631384
Action démocratique du Québec,Q343735
Action démocratique du Québec,Q343735
February 1974 United Kingdom general election,Q119524
Brian Faulkner,Q335547
Ulster Unionist Party,Q841045
Vanguard Unionist Progressive Party,Q3896802
Democratic Unionist Party,Q215519
--NME--,--NME--
Benedetto Della Vedova,Q2248530
Forza Europa (2017),Q30607763
Forza Europa (2017),Q30607763
Civics and Innovators,Q27534787
--NME--,--NME--
More Europe,Q47090559
--NME--,--NME--
More Europe,Q47090559
Pro-Europeanism,Q3781399
2018 Italian general election,Q16970032
American Conservative Union,Q3614053
--NME--,--NME--
Republican Party (United States),Q29468
Conservative Review,Q19879161
Club for Growth,Q160731
William Ross (Unionist politician),Q16104546
Ulster Unionist Party,Q841045
East Londonderry (UK Parliament constituency),Q751629
1983 United Kingdom general election,Q918466
Londonderry (UK Parliament constituency),Q6671187
February 1974 United Kingdom general election,Q119524
1983 United Kingdom general election,Q918466
Italian Liberal Party,Q508733
Italian Liberal Party,Q508733
1994 Italian general election,Q520749
--NME--,--NME--
Italian Liberal Party,Q508733
--NME--,--NME--
Alfredo Biondi,Q3611360
Union of the Centre (1993),Q4005594
2004 European Parliament election in Italy,Q11849
--NME--,--NME--
Achille Occhetto,Q340239
Italian Communist Party,Q461886
Communist Party (Italy),Q5154557
Italian Communist Party,Q461886
Democratic Party of the Left,Q1294923
Democratic Party of the Left,Q1294923
Social Democratic and Labour Party,Q175443
Social Democratic and Labour Party,Q175443
February 1974 United Kingdom general election,Q119524
John Dunlop (Unionist politician),Q6230436
Vanguard Unionist Progressive Party,Q3896802
Ulster Unionist Party,Q841045
Democratic Unionist Party,Q215519
Democratic Unionist Party,Q215519
1990 Australian federal election,Q239888
--NME--,--NME--
--NME--,--NME--
Electoral district of Richmond (New South Wales),Q5355893
1901 Australian federal election,Q3586876
National Party of Australia,Q946040
1922 Australian federal election,Q3586881
February 1974 United Kingdom general election,Q119524
Social Democratic and Labour Party,Q175443
Social Democratic and Labour Party,Q175443
Harry West,Q11682348
--NME--,--NME--
United Ulster Unionist Party,Q7893627
Vanguard Unionist Progressive Party,Q3896802
--NME--,--NME--
1949 Manitoba general election,Q6750197
1953 Manitoba general election,Q6750198
Labor-Progressive Party,Q3366569
Communist Party of Canada (Manitoba),Q5154343
February 1974 United Kingdom general election,Q119524
John Carson (politician),Q1699557
Ulster Unionist Party,Q841045
Vanguard Unionist Progressive Party,Q3896802
Democratic Unionist Party,Q215519
Sunningdale Agreement,Q321925
1987 United Kingdom general election,Q918472
--NME--,--NME--
1992 United Kingdom general election,Q543609
Joe Hendron,Q6210280
Social Democratic and Labour Party,Q175443
Unionism in the United Kingdom,Q3401913
1997 United Kingdom general election,Q918503
--NME--,--NME--
2001 United Kingdom general election,Q590740
2005 United Kingdom general election,Q428598
2010 United Kingdom general election,Q215622
--NME--,--NME--
1983 United Kingdom general election,Q918466
1992 United Kingdom general election,Q543609
Joe Hendron,Q6210280
Social Democratic and Labour Party,Q175443
1997 United Kingdom general election,Q918503
February 1974 United Kingdom general election,Q119524
Robert Bradford (Northern Irish politician),Q7342295
Vanguard Unionist Progressive Party,Q3896802
Sunningdale Agreement,Q321925
Ulster Unionist Party,Q841045
Democratic Unionist Party,Q215519
--NME--,--NME--
--NME--,--NME--
Claire Hanna,Q20631177
Social Democratic and Labour Party,Q175443
Emma Little-Pengelly,Q21234823
Democratic Unionist Party,Q215519
1979 United Kingdom general election,Q918450
Peter Robinson (Northern Ireland politician),Q333036
Democratic Unionist Party,Q215519
William Craig (Northern Ireland politician),Q8007229
Ulster Unionist Party,Q841045
Oliver Napier,Q529315
Alliance Party of Northern Ireland,Q244927
--NME--,--NME--
Irish nationalism,Q2021987
1983 United Kingdom general election,Q918466
Jim Nicholson (Northern Ireland politician),Q333729
Ulster Unionist Party,Q841045
Social Democratic and Labour Party,Q175443
--NME--,--NME--
1971 Baltimore mayoral election,Q65068146
1975 Baltimore mayoral election,Q65068148
1979 Baltimore mayoral election,Q65068143
1983 Baltimore mayoral election,Q65067848
Member of Parliament (United Kingdom),Q16707842
1997 United Kingdom general election,Q918503
Jeffrey Donaldson,Q300292
Ulster Unionist Party,Q841045
Democratic Unionist Party,Q215519
--NME--,--NME--
--NME--,--NME--
Sylvia Hermon,Q676383
2001 United Kingdom general election,Q590740
--NME--,--NME--
Ayaan Hirsi Ali,Q214475
Hoover Institution,Q1147088
Stanford University,Q41506
--NME--,--NME--
Belfer Center for Science and International Affairs,Q4882367
John F. Kennedy School of Government,Q49127
American Enterprise Institute,Q464135
"Washington, D.C.",Q61
Council on Foreign Relations,Q594712
Kim Dae-jung,Q45785
National Congress for New Politics,Q11249759
National Congress for New Politics,Q11249759
"Democratic Party (South Korea, 2000)",Q488952
--NME--,--NME--
"Democratic Party (South Korea, 2000)",Q488952
Liberty Korea Party,Q20916
Liberty Korea Party,Q20916
2000 South Korean legislative election,Q625995
Ontario,Q1904
1995 Ontario general election,Q3586385
Ontario Liberal Party,Q1553186
Joe Dickson,Q16208594
Ontario New Democratic Party,Q827589
Jim Wiseman,Q6199005
Durham West (provincial electoral district),Q5316592
Toronto,Q172
--NME--,--NME--
Co-operative Commonwealth Federation (Manitoba),Q5137463
Saint Boniface—Saint Vital,Q16983980
1949 Canadian federal election,Q912416
Liberal Party of Canada,Q138345
Fernand Viau,Q5444535
American Independent Party,Q465099
John G. Schmitz,Q1700152
1972 United States presidential election,Q644161
American Party (1969),Q4744654
1976 United States presidential election,Q699693
1997 Canadian federal election,Q3586269
2000 Canadian federal election,Q1355905
--NME--,--NME--
House of Commons of Canada,Q383590
Progressive Conservative Party of Canada,Q1292617
Ontario,Q1904
Prince Edward—Hastings,Q3403317
--NME--,--NME--
Liberal Party of Canada,Q138345
Lyle Vanclief,Q6707965
Reform Party of Canada,Q1680589
Canadian Alliance,Q546881
Conservative Party of Canada,Q488523
Humber River—Black Creek,Q3572594
2006 Canadian federal election,Q1723544
Eugène Terre'Blanche,Q148719
--NME--,--NME--
African National Congress,Q83162
--NME--,--NME--
African National Congress,Q83162
South Africa,Q258
1994 South African general election,Q957012
--NME--,--NME--
Eugène Terre'Blanche,Q148719
South African Communist Party,Q305317
Manitoba Liberal Party,Q3366499
Avis Gray,Q4828954
1990 Manitoba general election,Q6750212
1995 Manitoba general election,Q3586318
--NME--,--NME--
1997 Canadian federal election,Q3586269
2000 Canadian federal election,Q1355905
2004 Canadian federal election,Q1637432
2006 Canadian federal election,Q1723544
2008 Canadian federal election,Q1466815
2011 Canadian federal election,Q41302
2015 Canadian federal election,Q3586271
2019 Canadian federal election,Q24190721
Margo Kingston,Q6760633
John Valder,Q6261711
--NME--,--NME--
John Howard,Q51330
Liberal Party of Australia,Q241149
Brian Deegan (lawyer),Q4963548
Alexander Downer,Q1239291
Andrew Wilkie,Q4758919
Australian Greens,Q781486
Alex Broun,Q4716739
--NME--,--NME--
Celtic League,Q226050
Plaid Cymru,Q10691
Gwynfor Evans,Q333132
--NME--,--NME--
Scottish National Party,Q10658
Winnie Ewing,Q334015
--NME--,--NME--
Robert McIntyre,Q4933352
--NME--,--NME--
Rob Gibson,Q563410
Sinn Féin,Q76382
Ruairí Ó Brádaigh,Q3446429
--NME--,--NME--
Yann Fouéré,Q2571747
Alan Heusaff,Q2830523
Peter Berresford Ellis,Q1727806
People's Party for Freedom and Democracy,Q239333
Catholic People's Party,Q1548365
Anti-Revolutionary Party,Q574747
Political Party of Radicals,Q617261
Democrats 66,Q747910
People's Party for Freedom and Democracy,Q239333
Joop den Uyl,Q318320
Hugo Chávez,Q8440
Politics of Venezuela,Q1153592
1998 Venezuelan presidential election,Q8883
Nicolás Maduro,Q58132
2013 Venezuelan presidential election,Q6415351
2018 Venezuelan presidential election,Q28220398
--NME--,--NME--
Sejm,Q98964
1965 Polish legislative election,Q777580
1969 Polish legislative election,Q963422
1972 Polish legislative election,Q3051869
Law and Justice,Q156874
2017 Czech legislative election,Q17016895
Koruna Česká (party),Q1357724
Conservative Party (Czech Republic),Q3504357
Club of Committed Non-Party Members,Q3565836
TOP 09,Q651129
--NME--,--NME--
Association of Southeast Asian Nations,Q7768
Thailand,Q869
Myanmar,Q836
Indonesia,Q252
Singapore,Q334
Malaysia,Q833
Philippines,Q928
Cambodia,Q424
Laos,Q819
Vietnam,Q881
--NME--,--NME--
Principality of Mingrelia,Q2907860
Principality of Guria,Q2195101
Principality of Svaneti,Q2919545
Principality of Abkhazia,Q1760473
--NME--,--NME--
Giacomo Montalto,Q21176842
Province of Trapani,Q16288
Nicola Petrina,Q16058424
Province of Messina,Q16208
Giuseppe De Felice Giuffrida,Q431980
Province of Catania,Q16154
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
Antonio Licata,Q16062305
Province of Agrigento,Q16112
Agostino Lo Piano Pomar,Q3606786
Province of Caltanissetta,Q16150
Rosario Garibaldi Bosco,Q3941359
Nicola Barbato,Q3876127
Bernardino Verro,Q3638738
Wendell Willkie,Q698714
1944 Republican Party presidential primaries,Q7314635
--NME--,--NME--
1944 United States presidential election in Wisconsin,Q28221857
--NME--,--NME--
Thomas E. Dewey,Q320061
Harold Stassen,Q887520
Douglas MacArthur,Q127417
Associated Press,Q40469
The San Bernardino Sun,Q7762191
"San Bernardino, California",Q486168
--NME--,--NME--
--NME--,--NME--
Oldham (UK Parliament constituency),Q7085618
Liberal Party (UK),Q622441
1874 United Kingdom general election,Q918351
1880 United Kingdom general election,Q2074515
1885 United Kingdom general election,Q3397257
Giovanni Malagodi,Q518555
--NME--,--NME--
Monarchist National Party,Q1054567
Christian Democracy (Italy),Q815348
1963 Italian general election,Q1932681
Progressive Conservative Party of Canada,Q1292617
John Diefenbaker,Q128614
Flag of Canada,Q80110
--NME--,--NME--
Pierre Trudeau,Q8619
Liberal Party of Canada,Q138345
1962 Canadian federal election,Q937416
Conservative Party of Canada (1867–1942),Q909827
1911 Canadian federal election,Q787147
Edmonton (electoral district),Q375401
Liberal Party of Canada,Q138345
Frank Oliver (politician),Q5488798
2000 Canadian federal election,Q1355905
Dennis Gruending,Q5258467
New Democratic Party,Q130765
Saskatoon—Rosetown—Biggar,Q3473814
Canadian Alliance,Q546881
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
Pakistan Muslim League (N),Q799577
Nawaz Sharif,Q134068
Pakistan Tehreek-e-Insaf,Q284454
Pakistan Peoples Party,Q186591
--NME--,--NME--
Pakistan Muslim League (N),Q799577
--NME--,--NME--
Bill Shorten,Q4910865
Australian Labor Party,Q216082
2016 Australian federal election,Q17016874
Malcolm Turnbull,Q927550
Liberal Party of Australia,Q241149
National Party of Australia,Q946040
--NME--,--NME--
1967 South Korean presidential election,Q286861
National Assembly (South Korea),Q494162
1971 South Korean presidential election,Q286545
Kim Dae-jung,Q45785
New Democratic Party (South Korea),Q129634
--NME--,--NME--
Albert Chan,Q701670
People Power (Hong Kong),Q1026597
2011 Hong Kong local elections,Q5895284
Democratic Party (Hong Kong),Q21892
--NME--,--NME--
2014–15 Hong Kong electoral reform,Q15584096
2015 Hong Kong local elections,Q19019115
Civic Passion,Q16923430
Cheng Chung-tai,Q19853850
Kota Kinabalu,Q137271
United Pasokmomogun Kadazandusun Murut Organisation,Q175657
United Pasokmomogun Kadazandusun Murut Organisation,Q175657
Wilfred Madius Tangau,Q24004301
Barisan Nasional,Q808210
Barisan Nasional,Q808210
Malaysian Chinese Association,Q1886920
Parti Gerakan Rakyat Malaysia,Q3048772
Malaysian Indian Congress,Q958983
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
Freemasonry,Q41726
Knights Templar (Freemasonry),Q1814398
--NME--,--NME--
Moose International in Great Britain,Q7749123
Lions Clubs International,Q270029
Chamber of commerce,Q1123526
American Legion,Q468865
--NME--,--NME--
House of Commons of Canada,Q383590
1921 Canadian federal election,Q1723530
Liberal Party of Canada,Q138345
Progressive Party of Canada,Q2112263
Robert Hoey,Q7345544
Springfield (electoral district),Q3494242
--NME--,--NME--
Kizuna Party,Q2279177
Social Democratic Party (Japan),Q835109
--NME--,--NME--
Your Party,Q1355093
Japanese Communist Party,Q641600
New Renaissance Party,Q2094225
Yoshihiko Noda,Q57647
--NME--,--NME--
Hispanic,Q1211934
Hispanic and Latino Americans,Q58669
Texas Federation of Women's Clubs,Q24284008
Southwest Voter Registration Education Project,Q7571376
League of United Latin American Citizens,Q6509109
1987 Sarawak state election,Q21006082
--NME--,--NME--
--NME--,--NME--
--NME--,--NME--
Abdul Taib Mahmud,Q1015710
Barisan Nasional,Q808210
1991 Sarawak state election,Q7423436
1994 Italian general election,Q520749
Alliance of Progressives,Q369707
Silvio Berlusconi,Q11860
Forza Italia,Q215350
--NME--,--NME--
Conservative Party of Canada,Q488523
Vancouver Quadra,Q3554466
2004 Canadian federal election,Q1637432
2006 Canadian federal election,Q1723544
Liberal Party of Canada,Q138345
Stephen Owen (politician),Q3498625
2005 German federal election,Q165999
Angela Merkel,Q567
Christian Democratic Union of Germany,Q49762
Christian Social Union in Bavaria,Q49763
--NME--,--NME--
2014 European Parliament election in Germany,Q1376107
Germany,Q183
Christian Democratic Union of Germany,Q49762
Christian Democratic Union of Germany,Q49762
Social Democratic Party of Germany,Q49768
Social Democratic Party of Germany,Q49768
Günther Oettinger,Q57956
Germany,Q183
--NME--,--NME--
European Commission,Q8880
--NME--,--NME--
Labour Party (UK),Q9630
Coventry (UK Parliament constituency),Q5179039
1923 United Kingdom general election,Q3084294
1924 United Kingdom general election,Q2632991
National Executive Committee,Q92767018
Flick family,Q18091514
--NME--,--NME--
Deutsche Mark,Q16068
Christian Social Union in Bavaria,Q49763
Franz Josef Strauss,Q44620
Deutsche Mark,Q16068
Christian Democratic Union of Germany,Q49762
Helmut Kohl,Q2518
Free Democratic Party (Germany),Q13124
Social Democratic Party of Germany,Q49768
National Republican Party,Q1541747
Whig Party (United States),Q42183
Anti-Masonic Party,Q574701
--NME--,--NME--
Anti-Masonic Party,Q574701
Nullifier Party,Q3440208
John C. Calhoun,Q207191
--NME--,--NME--
States' rights,Q48527
John Adams,Q11806
Federalist Party,Q42189
1796 United States presidential election,Q698093
Federalist Party,Q42189
Democratic-Republican Party,Q42186
Thomas Jefferson,Q11812
Future Movement,Q228720
March 8 Alliance,Q636310
Free Patriotic Movement,Q1454007
Free Patriotic Movement,Q1454007
Michel Aoun,Q363392
Lebanese Shia Muslims,Q2777998
Hezbollah,Q41053
Amal Movement,Q452670
--NME--,--NME--
Legislative Assembly of Ontario,Q1809086
1975 Ontario general election,Q3586382
1977 Ontario general election,Q7094973
1981 Ontario general election,Q7094974
1985 Ontario general election,Q3586383
2005 New Zealand general election,Q846073
New Zealand National Party,Q204716
Otago,Q692912
Otago (New Zealand electorate),Q7108338
New Zealand National Party,Q204716
New Zealand Labour Party,Q1048192
--NME--,--NME--
1918 United Kingdom general election,Q3042701
1922 United Kingdom general election,Q3084303
1923 United Kingdom general election,Q3084294
--NME--,--NME--
Christian Democratic Union of Germany,Q49762
Christian Democratic Union of Germany,Q49762
Christian Social Union in Bavaria,Q49763
Christian Social Union in Bavaria,Q49763
Free Democratic Party (Germany),Q13124
Free Democratic Party (Germany),Q13124
2017 German federal election,Q15062956
--NME--,--NME--
Alliance 90/The Greens,Q49766
Progressive Conservative Party of Ontario,Q826977
1981 Ontario general election,Q7094974
Hamilton West (Canadian electoral district),Q3126450
Ontario Liberal Party,Q1553186
Stuart Lyon Smith,Q7626776
House of Commons of Canada,Q383590
1949 Manitoba general election,Q6750197
Progressive Conservative Party of Canada,Q1292617
Liberal Party of Canada,Q138345
William Gilbert Weir,Q8009877
Portage—Neepawa,Q979802
Australian Labor Party,Q216082
Bob Hawke,Q269372
Liberal Party of Australia,Q241149
Andrew Peacock,Q374949
National Party of Australia,Q946040
Charles Blunt,Q5075662
Australian Democrats,Q781392
Janine Haines,Q6154549
Greens Western Australia,Q5604429
Australian Senate,Q783330
Jo Vallentine,Q15501809
Nuclear Disarmament Party,Q7067936
1984 Australian federal election,Q3586903
--NME--,--NME--
Richard Nixon,Q9588
Republican Party (United States),Q29468
1952 United States presidential election,Q699548
1956 United States presidential election,Q699567
1960 United States presidential election,Q699590
1968 United States presidential election,Q693742
Richard Nixon,Q9588
--NME--,--NME--
Franklin D. Roosevelt,Q8007
Democratic Party (United States),Q29552
1920 United States presidential election,Q699343
1932 United States presidential election,Q179868
1936 United States presidential election,Q634429
1940 United States presidential election,Q699416
1944 United States presidential election,Q596667
--NME--,--NME--
Progressive Conservative Party of Manitoba,Q3366633
--NME--,--NME--
1959 Manitoba general election,Q6750200
1962 Manitoba general election,Q6750201
House of Commons of the United Kingdom,Q11005
Glasgow Pollok (UK Parliament constituency),Q5566888
October 1974 United Kingdom general election,Q918508
"Roxburgh, Selkirk and Peebles (UK Parliament constituency)",Q7372391
1979 United Kingdom general election,Q918450
1982 Glasgow Hillhead by-election,Q5566846
Roy Jenkins,Q323488
Social Democratic Party (UK),Q40052
--NME--,--NME--
Reform Party of British Columbia,Q7307410
British Columbia Party,Q4969742
British Columbia Conservative Party,Q918860
--NME--,--NME--
Royal Society,Q123885
National Academy of Sciences,Q270794
The World Academy of Sciences,Q337352
The World Academy of Sciences,Q337352
The World Academy of Sciences,Q337352
