person,relation
Asa Carlsson,geographicalRelation
Asa Carlsson,participated
Gabriela Sabatini,participated
Gabriela Sabatini,geographicalRelation
Pete Sampras,geographicalRelation
Pete Sampras,participated
Jiri Novak,participated
Jiri Novak,geographicalRelation
Paul Haarhuis,geographicalRelation
Paul Haarhuis,participated
Michael Tebbutt,participated
Michael Tebbutt,geographicalRelation
Lisa Raymond,geographicalRelation
Lisa Raymond,participated
Kimberly Po,participated
Kimberly Po,geographicalRelation
Hendrik Dreekmann,geographicalRelation
Hendrik Dreekmann,participated
Thomas Johansson,participated
Thomas Johansson,geographicalRelation
Andrei Medvedev,geographicalRelation
Andrei Medvedev,participated
Jan Kroslak,participated
Jan Kroslak,geographicalRelation
Petr Korda,geographicalRelation
Petr Korda,participated
Bohdan Ulihrach,participated
Bohdan Ulihrach,geographicalRelation
Monica Seles,geographicalRelation
Monica Seles,participated
Dally Randriantefy,participated
Dally Randriantefy,geographicalRelation
Todd Martin,geographicalRelation
Todd Martin,participated
Andrea Gaudenzi,participated
Andrea Gaudenzi,geographicalRelation
Stefan Edberg,geographicalRelation
Stefan Edberg,participated
Bernd Karbacher,participated
Bernd Karbacher,geographicalRelation
Andre Agassi,position-held
MaliVai Washington,position-held
MaliVai Washington,position-held
Marcelo Rios,position-held
Washington,position-held
Washington,participated
Alex O'Brien,participated
Alex O'Brien,position-held
Rios,position-held
Rios,participated
Jeff Tarango,participated
Jeff Tarango,position-held
Agassi,participated
Leander Paes,participated
Leander Paes,geographicalRelation
Washington,participated
Todd Martin,participated
Washington,position-held
Todd Martin,position-held
O'Brien,geographicalRelation
O'Brien,opposite
Washington,opposite
O'Brien,member
O'Brien,participated
Washington,participated
Washington,opposite
O'Brien,opposite
Tarango,position-held
Tarango,position-held
Tarango,opposite
Rios,opposite
Rios,opposite
Tarango,opposite
Tarango,opposite
Rios,opposite
CUNNINGHAM,position-held
Randall Cunningham,position-held
Cunningham,position-held
Cunningham,position-held
"""",position-held
"""",position-held
"""",position-held
owner Jeffrey,position-held
Randall,position-held
Randall,position-held
Randall,position-held
Jesper Parnevik,geographicalRelation
Dave Barr,geographicalRelation
HENKE,geographicalRelation
Nolan Henke,position-held
Tiger Woods,position-held
Igor Shkvyrin,equivalent-to
Hassan Abbas,opposite
Bitar,opposite
Nader Jokhadar,position-held
Shu Kamo,position-held
CUTTITTA,member
Marcello Cuttitta,position-held
Cuttitta,position-held
George Coste,position-held
Stefano Bordon,position-held
Coste,position-held
Corrado Covi,position-held
Cuttitta,participated
Cuttitta,position-held
Takuya Takagi,opposite
Salem Bitar,opposite
Nader Jokhadar,opposite
Kenichi Shimokawa,opposite
Ammar Awad,opposite
Kenichi Shimokawa,opposite
Bitar,opposite
Kazuyoshi Miura,opposite
Bitar,opposite
Takagi,opposite
Bitar,opposite
Miura,opposite
Bitar,opposite
Naoki Soma,position-held
Kenichi Shimokawa,position-held
Hiroshige Yanagimoto,position-held
Naoki Soma,position-held
Masami Ihara,position-held
Norio Omura,position-held
Motohiro Yamaguchi,position-held
Masakiyo Maezono,position-held
Yasuto Honda,position-held
Takuya Takagi,position-held
Hiroshi Nanami,position-held
Kazuyoshi Miura,position-held
Hiroaki Morishima,position-held
Masayuki Okano,position-held
Salem Bitar,position-held
Bachar Srour,position-held
Hassan Abbas,position-held
Tarek Jabban,position-held
Ammar Awad,position-held
Louay Taleb,position-held
Nihad al-Boushi,position-held
Mohammed Afash,position-held
Ali Dib,position-held
Abdul Latif Helou,position-held
Ammar Rihawiy,position-held
Khaled Zaher,position-held
Nader Jokhadar,position-held
Jesper Ronnback,geographicalRelation
Andrei Ivanov,geographicalRelation
Ryan Johnson,geographicalRelation
Jean-Luc Brassard,geographicalRelation
Korneilus Hole,geographicalRelation
Jeremie Collomb-Patton,geographicalRelation
Jim Moran,geographicalRelation
Dominick Gauthier,geographicalRelation
Johann Gregoire,geographicalRelation
Troy Benson,geographicalRelation
Tatjana Mittermayer,geographicalRelation
Candice Gilg,geographicalRelation
Minna Karhu,geographicalRelation
Tae Satoya,geographicalRelation
Ann Battellle,geographicalRelation
Donna Weinbrecht,geographicalRelation
Liz McIntyre,geographicalRelation
Elena Koroleva,geographicalRelation
Ljudmila Dymchenko,geographicalRelation
Katleen Allais,geographicalRelation
Takuya Takagi,position-held
Nader Jokhadar,position-held
Reggie Blinker,equivalent-to
Reggie Blinker,position-held
Reggie Blinker,position-held
Blinker,position-held
Blinker,position-held
Blinker,position-held
Blinker,position-held
Blinker,position-held
BOWYER,position-held
Lee Bowyer,position-held
Lee Bowyer,member
Lee Bowyer,geographicalRelation
Bowyer,geographicalRelation
Bowyer,position-held
Bowyer,geographicalRelation
Bowyer,opposite
Daniel Herbert,equivalent-to
Little,position-held
Daniel Herbert,position-held
Owen Finegan,opposite
Owen Finegan,position-held
Daniel Manu,position-held
David Campese,position-held
David Campese,member
Campese,opposite
Rob Andrew,opposite
Rob Andrew,position-held
Rob Andrew,opposite
said,geographicalRelation
Tim Stimpson,position-held
Tim Stimpson,member
Tony Underwood,position-held
Tony Underwood,member
Ian Jones,position-held
Ian Jones,position-held
Norm Hewitt,position-held
Norm Hewitt,position-held
Tim Stimpson,position-held
Tim Stimpson,geographicalRelation
Nigel Walker,position-held
Nigel Walker,geographicalRelation
Allan Bateman,position-held
Allan Bateman,geographicalRelation
Gregor Townsend,position-held
Gregor Townsend,geographicalRelation
Tony Underwood,position-held
Tony Underwood,geographicalRelation
Rob Andrew,position-held
Rob Andrew,geographicalRelation
Rob Howley,position-held
Rob Howley,geographicalRelation
Scott Quinnell,position-held
Scott Quinnell,geographicalRelation
Neil Back,position-held
Neil Back,geographicalRelation
Dale McIntosh,position-held
Dale McIntosh,geographicalRelation
Ian Jones,position-held
Ian Jones,geographicalRelation
Craig Quinnell,position-held
Craig Quinnell,geographicalRelation
Darren Garforth,position-held
Darren Garforth,geographicalRelation
Norm Hewitt,position-held
Norm Hewitt,geographicalRelation
Nick Popplewell,position-held
Nick Popplewell,geographicalRelation
Matthew Burke,position-held
Joe Roff,position-held
Daniel Herbert,position-held
Tim Horan,position-held
David Campese,position-held
Pat Howard,position-held
Sam Payne,position-held
Michael Brial,position-held
David Wilson,position-held
Owen Finegan,position-held
David Giffin,position-held
Tim Gavin,position-held
Andrew Blades,position-held
Marco Caputo,position-held
Dan Crowley,position-held
Des Terblanche,position-held
Des Terblanche,member
Mark McNulty,position-held
Mark McNulty,geographicalRelation
Steve van Vuuren,position-held
Steve van Vuuren,member
Nick Price,position-held
Nick Price,geographicalRelation
Justin Hobday,position-held
Justin Hobday,member
Andrew Pitts,geographicalRelation
Mark Cayeux,geographicalRelation
Schalk van der Merwe,geographicalRelation
Adilson da Silva,geographicalRelation
Trevor Dodds,geographicalRelation
Don Robertson,geographicalRelation
Anghel Iordanescu,member
Valentin Stefan,position-held
Valentin Stefan,position-held
Viorel Ion,position-held
Viorel Ion,position-held
Liviu Ciobotariu,position-held
Liviu Ciobotariu,position-held
Adrian Ilie,position-held
Adrian Ilie,position-held
Lara,position-held
Shane Warne,position-held
Clive Lloyd,position-held
Lara,opposite
Ian Healy,opposite
Geoff Marsh,member
Shivnarine Chanderpaul,position-held
Greg Blewett,position-held
David Boon,position-held
Shaun Young,position-held
Michael DiVenuto,position-held
Brian Lara,position-held
Brian Lara,position-held
Lara,member
Ian Healy,member
Ian Healy,position-held
Courtney Walsh,position-held
Lara,opposite
Lara,opposite
Geoff Marsh,opposite
Geoff Marsh,member
Lara,opposite
Healy,opposite
Lara,geographicalRelation
Lara,position-held
Courtney Walsh,position-held
Mark Taylor,position-held
Mark Waugh,position-held
Ricky Ponting,position-held
Greg Blewett,position-held
Michael Bevan,position-held
Stuart Law,position-held
Tom Moody,position-held
Ian Healy,position-held
Paul Reiffel,position-held
Shane Warne,position-held
Jason Gillespie,position-held
Glenn McGrath,position-held
Sherwin Campbell,position-held
Robert Samuels,position-held
Brian Lara,position-held
Shivnarine Chanderpaul,position-held
Carl Hooper,position-held
Jimmy Adams,position-held
Junior Murray,position-held
Nixon McLean,position-held
Kenneth Benjamin,position-held
Curtly Ambrose,position-held
Courtney Walsh,position-held
Roland Holder,position-held
Chen Gang,geographicalRelation
Chen Gang,participated
Martin Londgaard Hansen,participated
Martin Londgaard Hansen,geographicalRelation
Dong Jiong,geographicalRelation
Dong Jiong,participated
Thomas Stuer-Lauridsen,participated
Thomas Stuer-Lauridsen,geographicalRelation
Indra Wijaya,geographicalRelation
Indra Wijaya,participated
Ong Ewe Hock,participated
Ong Ewe Hock,geographicalRelation
Sun Jun,geographicalRelation
Sun Jun,participated
Rashid Sidek,participated
Rashid Sidek,geographicalRelation
Hermawan Susanto,geographicalRelation
Hermawan Susanto,participated
Soren B. Nielsen,participated
Soren B. Nielsen,geographicalRelation
Allan Budi Kuksuma,geographicalRelation
Allan Budi Kuksuma,participated
Poul-Erik Hoyer-Larsen,participated
Poul-Erik Hoyer-Larsen,geographicalRelation
Budi Santoso,geographicalRelation
Budi Santoso,participated
Hu Zhilan,participated
Hu Zhilan,geographicalRelation
Fung Permadi,geographicalRelation
Fung Permadi,opposite
Indra,opposite
Wijaya,geographicalRelation
Sun Jun,geographicalRelation
Sun Jun,opposite
Allan Budi Kusuma,opposite
Allan Budi Kusuma,geographicalRelation
Gong Zhichao,geographicalRelation
Gong Zhichao,participated
Mia Audina,participated
Mia Audina,geographicalRelation
Ye Zhaoying,geographicalRelation
Ye Zhaoying,participated
Meiluawati,participated
Meiluawati,geographicalRelation
Camilla Martin,geographicalRelation
Camilla Martin,participated
Wang Chen,participated
Wang Chen,geographicalRelation
Susi Susanti,geographicalRelation
Susi Susanti,participated
Han Jingna,participated
Han Jingna,geographicalRelation
Susi Susanti,geographicalRelation
Susi Susanti,opposite
Camilla Martin,opposite
Camilla Martin,geographicalRelation
Ye Zhaoying,geographicalRelation
Ye Zhaoying,opposite
Gong Zichao,opposite
Gong Zichao,geographicalRelation
Werner Zwingmann,position-held
Werner Zwingmann,position-held
Werner Zwingmann,opposite
Nikolaus van der Pas,position-held
Franz Fischler,position-held
Fischler,contributes
Loyola de Palacio,equivalent-to
Loyola de Palacio,opposite
Fischler,opposite
Loyola de Palacio,position-held
Fischler,position-held
Fischler,position-held
John Lloyd Jones,position-held
John Lloyd Jones,usage
Jimi Hendrix,equivalent-to
Hendrix,contributes
Hendrix,geographicalRelation
Hendrix,relationship
Kathy Etchingham,relationship
Lien Chan,equivalent-to
Lien Chan,geographicalRelation
Lien Chan,opposite
Shen Guofang,position-held
Shen Guofang,opposite
Tang Shubei,position-held
Tang Shubei,position-held
Lien,equivalent-to
Lien,geographicalRelation
Lien,position-held
Tang Shubei,position-held
Costas Simitis,position-held
Costas Skandalidis,position-held
Dimitris Kontogiannis,position-held
Itamar Rabinovich,position-held
Itamar Rabinovich,position-held
Itamar Rabinovich,position-held
Eliahu Ben-Elissar,position-held
Eliahu Ben-Elissar,position-held
Eliahu Ben-Elissar,equivalent-to
Hafez al- ) Assad,equivalent-to
David Levy,equivalent-to
David Levy,position-held
Benjamin Netanyahu,equivalent-to
Netanyahu,position-held
Netanyahu,position-held
Netanyahu,position-held
Netanyahu,position-held
Tadeusz Awdankiewicz,position-held
Tadeusz Awdankiewicz,geographicalRelation
Massoud Rajavi,position-held
Massoud Rajavi,geographicalRelation
Massoud Rajavi,position-held
Hassan Rastegar,position-held
Massoud Rajavi,position-held
Hassan Rastegar,geographicalRelation
Hassan Rastegar,position-held
Arafat,geographicalRelation
Yasser Arafat,position-held
Yasser Arafat,equivalent-to
Yasser Arafat,geographicalRelation
Yasser Arafat,equivalent-to
Arafat,equivalent-to
Arafat,geographicalRelation
Arafat,geographicalRelation
Shimon Peres,equivalent-to
Shimon Peres,geographicalRelation
Shimon Peres,geographicalRelation
Arafat,opposite
Arafat,equivalent-to
Benjamin Netanyahu,opposite
Benjamin Netanyahu,opposite
Arafat,opposite
Arafat,position-held
Arafat,geographicalRelation
Arafat,geographicalRelation
Arafat,relationship
Peres,relationship
Arafat,geographicalRelation
Peres,geographicalRelation
Yasser Arafat,relationship
Shimon Peres,relationship
Yasser Arafat,geographicalRelation
Shimon Peres,geographicalRelation
Wataru Kubo,position-held
Shulamit Aloni,position-held
St. Boniface,position-held
Brian Deegan,opposite
Yann Fouéré,position-held
Yann Fouéré,is-a
Alan Heusaff,position-held
Alan Heusaff,is-a
Peter Berresford Ellis,position-held
Bernard Le Nail,position-held
Brian Stowell,position-held
Ismail,position-held
Patteson,position-held
Patteson,position-held
Patteson,position-held
Patteson,position-held
Patteson,position-held
Patteson,position-held
Patteson,position-held
Patteson,position-held
Patteson,position-held
Rudolph Diehl,position-held
Grande,position-held
Grande,participated
Grande,participated
Grande,participated
Grande,participated
Grande,participated
Grande,participated
Grande,participated
Grande,participated
Derby-Lewis,opposite
Wolfe,position-held
Wolfe,position-held
Wolfe,position-held
Wolfe,position-held
Wolfe,position-held
Lord Hall,position-held
Lord Hall,position-held
Lord Hall,position-held
Lord Hall,position-held
Allan Nevins,contributes
Osborne,position-held
Osborne,participated
Osborne,participated
Osborne,participated
Osborne,position-held
Van Susteren,position-held
Van Susteren,position-held
Van Susteren,position-held
Van Susteren,position-held
Nicky Henson,position-held
Napoleon,position-held
Nicky Henson,contributes
Napoleon,contributes
Toby Jones,position-held
Squealer,position-held
Toby Jones,contributes
Squealer,contributes
Ralph Ineson,position-held
Boxer,position-held
Ralph Ineson,contributes
Boxer,contributes
Einstein,geographicalRelation
Einstein,position-held
Einstein,geographicalRelation
Einstein,relationship
Einstein,relationship
Einstein,relationship
Einstein,relationship
Porus,member
Perdiccas,participated
Gide,geographicalRelation
Gide,geographicalRelation
Gide,geographicalRelation
Gide,geographicalRelation
Gide,geographicalRelation
Augustus,position-held
Alexandra zu Schaumburg-Lippe,geographicalRelation
Vladan Đorđević,geographicalRelation
Solzhenitsyn,contributes
Afonso,relationship
Catherine of Braganza,relationship
Catherine of Braganza,relationship
King Charles II of England,relationship
King Charles II of England,position-held
Alfonso,position-held
Alfonso,position-held
Alfonso,position-held
Urraca,position-held
Urraca,position-held
Urraca,position-held
Alfonso VI,position-held
Schwarzenegger,position-held
Bruce Willis,position-held
Sylvester Stallone,position-held
Demi Moore,position-held
Helen Keller,contributes
Roger Baldwin,contributes
Crystal Eastman,contributes
Walter Nelles,contributes
Morris Ernst,contributes
Albert DeSilver,contributes
Arthur Garfield Hays,contributes
Jane Addams,contributes
Felix Frankfurter,contributes
Elizabeth Gurley Flynn,contributes
Rose Schneiderman,contributes
Helen Keller,position-held
Roger Baldwin,position-held
Crystal Eastman,position-held
Walter Nelles,position-held
Morris Ernst,position-held
Albert DeSilver,position-held
Arthur Garfield Hays,position-held
Jane Addams,position-held
Felix Frankfurter,position-held
Elizabeth Gurley Flynn,position-held
Rose Schneiderman,position-held
Norman Thomas,position-held
Norman Thomas,opposite
Harry F. Ward,opposite
Norman Thomas,opposite
Corliss Lamont,opposite
Norman Thomas,opposite
Elizabeth Gurley Flynn,opposite
John Haynes Holmes,position-held
John Haynes Holmes,opposite
Harry F. Ward,opposite
John Haynes Holmes,opposite
Corliss Lamont,opposite
John Haynes Holmes,opposite
Elizabeth Gurley Flynn,opposite
Morris Ernst,position-held
Morris Ernst,opposite
Harry F. Ward,opposite
Morris Ernst,opposite
Corliss Lamont,opposite
Morris Ernst,opposite
Elizabeth Gurley Flynn,opposite
Harry F. Ward,position-held
Corliss Lamont,position-held
Elizabeth Gurley Flynn,position-held
Ms. Hill,relationship
Ms. Hill,opposite
Ms. Hill,position-held
Sunetra Sarker,position-held
Sunetra Sarker,position-held
Wes Nelson,position-held
Wes Nelson,position-held
Matthew Wright,position-held
Matthew Wright,position-held
Nikki Sanderson,position-held
Nikki Sanderson,position-held
Abbas II Helmy Bey,is-a
Abbas II Helmy Bey,opposite
Abbas II Helmy Bey,position-held
Abbas II Helmy Bey,relationship
Abbas II Helmy Bey,equivalent-to
Abbās Ḥilmī Pasha,equivalent-to
Abbas II Helmy Bey,position-held
Abbas II,relationship
Muhammad Ali,relationship
Abbas II,geographicalRelation
Abbas II,equivalent-to
Abbas Hilmy,equivalent-to
Marianna Török de Szendrö,geographicalRelation
Marianna Török de Szendrö,member
Marianna Török de Szendrö,equivalent-to
Zübeyde Cavidan Hanım,equivalent-to
Michael Aris,relationship
Michelle Yeoh,contributes
Michael Aris,contributes
David Thewlis,contributes
Michael Aris,topic
Luc Besson,contributes
Michelle Yeoh,position-held
Michael Aris,position-held
David Thewlis,position-held
Cvjetko Popović,position-held
Gavrilo Princip,position-held
Muhamed Mehmedbašić,position-held
Nedeljko Čabrinović,position-held
Trifko Grabež,position-held
Vaso Čubrilović,position-held
Cvjetko Popović,position-held
Gavrilo Princip,position-held
Muhamed Mehmedbašić,position-held
Nedeljko Čabrinović,position-held
Trifko Grabež,position-held
Vaso Čubrilović,position-held
Carl Hugenberg,geographicalRelation
Carl Hugenberg,geographicalRelation
Carl Hugenberg,position-held
Carl Hugenberg,position-held
Carl Hugenberg,position-held
Hallstein,geographicalRelation
Hallstein,position-held
Hallstein,geographicalRelation
Hallstein,position-held
Hallstein,geographicalRelation
Hallstein,position-held
Walter Hallstein,position-held
Walter Hallstein,position-held
Walter Hallstein,position-held
Walter Hallstein,position-held
Walter Hallstein,position-held
Walter Hallstein,position-held
Walter Hallstein,position-held
Walter Hallstein,position-held
Walter Hallstein,position-held
Walter Hallstein,position-held
Ford,geographicalRelation
Ford,position-held
Ford,geographicalRelation
Ford,position-held
Ford,geographicalRelation
Ford,position-held
Edmund of Langley,position-held
Edmund of Langley,relationship
Edward III,relationship
John of Gaunt,position-held
John of Gaunt,relationship
Edward III,relationship
Liu Bei,participated
Sun Quan,participated
Sun Quan,position-held
Lü Meng,position-held
Imelda,position-held
Spivak,position-held
Spivak,position-held
Spivak,position-held
Spivak,position-held
Spivak,position-held
Spivak,position-held
Spivak,position-held
Spivak,position-held
Spivak,position-held
Spivak,position-held
Spivak,position-held
Shalala,position-held
Shalala,position-held
Shalala,position-held
Shalala,position-held
Shalala,position-held
Shalala,position-held
Shalala,position-held
Shalala,position-held
Kuropatkin,geographicalRelation
Kuropatkin,position-held
Kuropatkin,geographicalRelation
Kuropatkin,geographicalRelation
Kuropatkin,geographicalRelation
Kuropatkin,geographicalRelation
Kuropatkin,geographicalRelation
Agamben,geographicalRelation
Agamben,position-held
Agamben,geographicalRelation
Agamben,position-held
Agamben,geographicalRelation
Agamben,position-held
Agamben,geographicalRelation
Agamben,position-held
Agamben,geographicalRelation
Agamben,position-held
Agamben,geographicalRelation
Agamben,position-held
Knox,geographicalRelation
Andrea Fischer,position-held
Andrea Fischer,member
Major,position-held
Major,participated
Major,participated
Major,participated
Major,participated
Major,participated
Wyden,position-held
Wyden,position-held
Wyden,position-held
Wyden,opposite
Schirra,geographicalRelation
Schirra,position-held
Schirra,position-held
Yukimasa Kishino,contributes
Akio Ōtsuka,contributes
Jūrōta Kosugi,contributes
Kaoru Katō,contributes
Yōko,contributes
Tsumugi Ōsawa,contributes
Yōko Saitō,contributes
Fumiko Orikasa,contributes
Kazue Nakamoto,contributes
Seiko Yoshida,contributes
Yukimasa Kishino,position-held
Akio Ōtsuka,position-held
Jūrōta Kosugi,position-held
Kaoru Katō,position-held
Yōko,position-held
Tsumugi Ōsawa,position-held
Yōko Saitō,position-held
Fumiko Orikasa,position-held
Kazue Nakamoto,position-held
Seiko Yoshida,position-held
Mamiko Noto,position-held
Sanzō,contributes
Fumihiko Tachiki,contributes
Sanzō,contributes
Kōji Ishii,contributes
Sanzō,contributes
Masaaki Tsukada,contributes
Sanzō,contributes
Naomi Otome,contributes
Sanzō,position-held
Fumihiko Tachiki,position-held
Sanzō,position-held
Kōji Ishii,position-held
Sanzō,position-held
Masaaki Tsukada,position-held
Sanzō,position-held
Naomi Otome,position-held
Hall,position-held
Hall,position-held
Billy the Kid,geographicalRelation
John Chisum,geographicalRelation
Lawrence Murphy,geographicalRelation
Hamilton,geographicalRelation
Hamilton,position-held
Hamilton,position-held
Hamilton,geographicalRelation
Hamilton,position-held
Gavrilo Princip,geographicalRelation
Nedeljko Čabrinović,geographicalRelation
Trifko Grabež,geographicalRelation
Gwen Cooper,member
Gwen Cooper,contributes
Eve Myles,contributes
Gwen Cooper,position-held
Eve Myles,position-held
Eve Myles,equivalent-to
Myles,equivalent-to
Ianto Jones,member
Ianto Jones,contributes
Gareth David-Lloyd,contributes
Ianto Jones,position-held
Gareth David-Lloyd,position-held
Luke Smith,member
Luke Smith,contributes
Tommy Knight,contributes
Luke Smith,position-held
Tommy Knight,position-held
Mr Smith,member
Mr Smith,contributes
Alexander Armstrong,contributes
Mr Smith,position-held
Alexander Armstrong,position-held
Alexander Armstrong,equivalent-to
Armstrong,equivalent-to
Titan Cronus,relationship
Titan Cronus,equivalent-to
Knowles,position-held
Jack Splash,position-held
Knowles,position-held
Shea Taylor,position-held
Knowles,position-held
Mr. Familiar,position-held
Knowles,position-held
Lamont Dozier,position-held
Knowles,position-held
Knowles,position-held
Knowles,position-held
Pharrell Williams,position-held
Knowles,position-held
Bilal,position-held
Knowles,position-held
Q-Tip,position-held
Knowles,position-held
Lil Wayne,position-held
Cooper,position-held
Cooper,position-held
Cooper,position-held
Cooper,position-held
Cooper,position-held
Cooper,position-held
Cooper,position-held
Cooper,position-held
Cooper,position-held
Cooper,position-held
Cooper,position-held
Cooper,position-held
Pierre Elliott Trudeau,geographicalRelation
James Bond,member
Tracy Bond,member
Tracy Bond,contributes
Diana Rigg,contributes
Tracy Bond,position-held
Diana Rigg,position-held
Irma Bunt,member
Irma Bunt,contributes
Ilse Steppat,contributes
Irma Bunt,position-held
Ilse Steppat,position-held
Peterlin,position-held
Peterlin,position-held
Peterlin,position-held
Peterlin,position-held
Bennett,position-held
Bennett,position-held
Bennett,position-held
Bennett,position-held
Bennett,position-held
Lawrence Murphy,opposite
John Tunstall,opposite
Lawrence Murphy,opposite
McSween,opposite
Dolan,opposite
John Tunstall,opposite
Dolan,opposite
McSween,opposite
Michele Besso,relationship
Stephen Samuel Wise,relationship
Cooper,relationship
Oliver Coleman,relationship
Cooper,relationship
Walter Dyett,relationship
Cooper,geographicalRelation
Cooper,position-held
Cooper,geographicalRelation
Cooper,position-held
Adjoa Andoh,position-held
Francine Jones,position-held
Penelope Wilton,position-held
Harriet Jones,position-held
Martha,relationship
Francine Jones,relationship
Martha,relationship
Harriet Jones,relationship
Adjoa Andoh,contributes
Francine Jones,contributes
Penelope Wilton,contributes
Harriet Jones,contributes
Charpentier,position-held
Charpentier,position-held
Charpentier,position-held
Hughes,geographicalRelation
Hughes,participated
Hughes,position-held
George Hearn,position-held
Angela Lansbury,position-held
Doctor,contributes
David Tennant,contributes
Doctor,opposite
Doctor,position-held
David Tennant,position-held
Donna Noble,contributes
Catherine Tate,contributes
Donna Noble,opposite
Donna Noble,position-held
Catherine Tate,position-held
Jack Harkness,contributes
John Barrowman,contributes
Jack Harkness,opposite
Jack Harkness,position-held
John Barrowman,position-held
Martha Jones,contributes
Freema Agyeman,contributes
Martha Jones,opposite
Martha Jones,position-held
Freema Agyeman,position-held
Sarah Jane Smith,contributes
Elisabeth Sladen,contributes
Sarah Jane Smith,opposite
Sarah Jane Smith,position-held
Elisabeth Sladen,position-held
Rose Tyler,contributes
Billie Piper,contributes
Rose Tyler,opposite
Rose Tyler,position-held
Billie Piper,position-held
Doctor,contributes
Richard E. Grant,contributes
Doctor,contributes
Jim Broadbent,contributes
Doctor,contributes
Hugh Grant,contributes
Doctor,contributes
Joanna Lumley,contributes
Doctor,position-held
Richard E. Grant,position-held
Doctor,position-held
Jim Broadbent,position-held
Doctor,position-held
Hugh Grant,position-held
Doctor,position-held
Joanna Lumley,position-held
Gabriel,participated
Jeremy,position-held
Jeremy,position-held
Jeremy,equivalent-to
Jeremy,equivalent-to
Jeremy,member
Claudia Black,position-held
Claudia Black,position-held
Aeryn Sun,position-held
Claudia Black,contributes
Aeryn Sun,contributes
Virginia Hey,position-held
Virginia Hey,position-held
Pa 'u Zotoh Zhaan,position-held
Virginia Hey,contributes
Pa 'u Zotoh Zhaan,contributes
Kuyper,position-held
Kuyper,position-held
Kuyper,position-held
Kuyper,position-held
Kuyper,position-held
Kuyper,position-held
Kuyper,position-held
Kuyper,position-held
Kuyper,position-held
Kuyper,position-held
Gellar,position-held
Gellar,position-held
Smirnov,position-held
Smirnov,position-held
Smirnov,position-held
Gabriel,participated
Gabriel,position-held
Kevin O 'Connell,position-held
Greg P. Russell,position-held
Lee Orloff,position-held
Scottish Executive,position-held
Scottish Executive,position-held
Scottish Executive,position-held
Redgrave,participated
Redgrave,participated
Redgrave,participated
Redgrave,participated
Redgrave,participated
Redgrave,participated
Redgrave,participated
Redgrave,participated
Redgrave,position-held
Arthur Miller,position-held
Redgrave,position-held
Tennessee Williams,position-held
Otto Scherzer,position-held
Georg Joos,position-held
Otto Heckmann,position-held
Jack Yardley,geographicalRelation
Jack Yardley,position-held
Henry Appelman,geographicalRelation
Henry Appelman,position-held
Tom Kent,geographicalRelation
Tom Kent,position-held
Camper,relationship
Frederika Theodora Ernestina Camper,relationship
Frederika Theodora Ernestina Camper,geographicalRelation
Frederika Theodora Ernestina Camper,geographicalRelation
Frederika Theodora Ernestina Camper,geographicalRelation
Albarn,position-held
Robert 3D Del Naja,position-held
Albarn,position-held
Albarn,position-held
Albarn,position-held
Robert 3D Del Naja,member
Robert 3D Del Naja,position-held
Rose Nadler,contributes
L. Scott Caldwell,contributes
Rose Nadler,relationship
Bernard Nadler,relationship
Rose Nadler,position-held
L. Scott Caldwell,position-held
Bernard Nadler,contributes
Sam Anderson,contributes
Bernard Nadler,position-held
Sam Anderson,position-held
Addison Montgomery-Shepherd,contributes
Kate Walsh,contributes
Addison Montgomery-Shepherd,relationship
Derek Shepherd,relationship
Addison Montgomery-Shepherd,position-held
Kate Walsh,position-held
Derek Shepherd,contributes
Patrick Dempsey,contributes
Derek Shepherd,position-held
Patrick Dempsey,position-held
Izzie Stevens,contributes
Katherine Heigl,contributes
Izzie Stevens,position-held
Katherine Heigl,position-held
Denny Duquette,contributes
Jeffrey Dean Morgan,contributes
Denny Duquette,position-held
Jeffrey Dean Morgan,position-held
Meredith Grey,contributes
Ellen Pompeo,contributes
Meredith Grey,position-held
Ellen Pompeo,position-held
Finn Dandridge,contributes
Chris O 'Donnell,contributes
Finn Dandridge,position-held
Chris O 'Donnell,position-held
Rustam Ibrahimbeyov,participated
Vladimir Menshov,participated
John Sevier,member
Hanging Maw,equivalent-to
Hanging Maw,geographicalRelation
Young,geographicalRelation
Young,position-held
Young,geographicalRelation
Young,position-held
Young,geographicalRelation
Young,position-held
Usher,participated
Usher,participated
Usher,participated
Finland,geographicalRelation
Finland,geographicalRelation
Finland,geographicalRelation
Finland,geographicalRelation
Finland,geographicalRelation
Lyuba Berlin,contributes
Nata Babushkina,contributes
Lyuba Berlin,member
Nata Babushkina,member
Aesculapius,is-a
Aesculapius,is-a
Aesculapius,member
Aesculapius,relationship
Apollo,relationship
Aesculapius,relationship
Coronis,relationship
Apollo,contributes
Coronis,contributes
Venus,equivalent-to
Jones,position-held
Jones,contributes
Jones,contributes
Hiram G. Bond,geographicalRelation
Hiram G. Bond,geographicalRelation
Leigh S. J. Hunt,geographicalRelation
Alessandra Becatti,member
Alessandra Becatti,position-held
Donna Noble,contributes
Catherine Tate,contributes
Donna Noble,position-held
Catherine Tate,position-held
Rose Tyler,contributes
Billie Piper,contributes
Rose Tyler,position-held
Billie Piper,position-held
Brewster,contributes
Brewster,geographicalRelation
Brewster,position-held
Brewster,participated
Brewster,geographicalRelation
Brewster,position-held
Hermann Sudermann,contributes
Magda,equivalent-to
Magda,geographicalRelation
Magda,position-held
